report_short_name,report_long_name,report_url
"Components of Other Income (Expense), Net (Detail)","100410 - Disclosure - Components of Other Income (Expense), Net (Detail)",https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R42.htm
Net Recognized Gains (Losses) on Debt Investments (Detail),100420 - Disclosure - Net Recognized Gains (Losses) on Debt Investments (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R43.htm
Net Recognized Gains (Losses) on Equity Investments (Detail),100430 - Disclosure - Net Recognized Gains (Losses) on Equity Investments (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R44.htm
Investment Components (Detail),100440 - Disclosure - Investment Components (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R45.htm
Investments - Additional Information (Detail),100450 - Disclosure - Investments - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R46.htm
Unrealized Losses on Debt Investments (Detail),100460 - Disclosure - Unrealized Losses on Debt Investments (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R47.htm
Debt Investment Maturities (Detail),100470 - Disclosure - Debt Investment Maturities (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R48.htm
Derivatives - Additional Information (Detail),100480 - Disclosure - Derivatives - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R49.htm
Notional Amounts of Outstanding Derivative Instruments Measured in U.S. Dollar Equivalents (Detail),100490 - Disclosure - Notional Amounts of Outstanding Derivative Instruments Measured in U.S. Dollar Equivalents (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R50.htm
Fair Values of Derivative Instruments (Detail),100500 - Disclosure - Fair Values of Derivative Instruments (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R51.htm
"Gains (Losses) on Derivative Instruments Recognized in Other Income (Expense), Net (Detail)","100510 - Disclosure - Gains (Losses) on Derivative Instruments Recognized in Other Income (Expense), Net (Detail)",https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R52.htm
"Gains (Losses), Net of Tax, on Derivative Instruments Recognized on Consolidated Comprehensive Income Statements (Detail)","100520 - Disclosure - Gains (Losses), Net of Tax, on Derivative Instruments Recognized on Consolidated Comprehensive Income Statements (Detail)",https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R53.htm
Components of Inventories (Detail),100530 - Disclosure - Components of Inventories (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R54.htm
